"TCGA.KS.A41L.11A.11R.A23N.07" "TCGA.DO.A1JZ.11A.11R.A13Y.07" "TCGA.EL.A3ZO.11A.12R.A23N.07" "TCGA.ET.A3DW.11A.11R.A19O.07" "TCGA.EL.A3ZQ.11A.11R.A23N.07" "TCGA.H2.A2K9.11A.11R.A180.07" "TCGA.EL.A3T8.11A.11R.A22L.07" "TCGA.BJ.A2NA.11A.11R.A19O.07" "TCGA.E8.A2JQ.11A.11R.A180.07" "TCGA.EL.A3ZP.11A.11R.A23N.07" "TCGA.BJ.A28X.11A.11R.A22L.07" "TCGA.FY.A3TY.11A.12R.A22U.07" "TCGA.EL.A3ZG.11A.13R.A23N.07" "TCGA.KS.A41I.11A.11R.A23N.07" "TCGA.EL.A3H1.11A.11R.A21D.07" "TCGA.EL.A3ZT.11A.13R.A23N.07" "TCGA.EL.A3T3.11A.11R.A22L.07" "TCGA.EL.A3H2.11A.11R.A20F.07" "TCGA.EM.A1YC.11A.11R.A14Y.07" "TCGA.EL.A3ZL.11A.11R.A23N.07" "TCGA.BJ.A3PU.11A.11R.A220.07" "TCGA.BJ.A28R.11A.11R.A16R.07" "TCGA.BJ.A2N8.11A.11R.A18C.07" "TCGA.BJ.A290.11A.11R.A180.07" "TCGA.KS.A41J.11A.12R.A23N.07" "TCGA.EM.A1CW.11A.12R.A13Y.07" "TCGA.EL.A3T0.11A.12R.A22L.07" "TCGA.EL.A3MY.11A.12R.A21D.07" "TCGA.EL.A3MW.11A.11R.A20F.07" "TCGA.EL.A3T6.11A.11R.A220.07" "TCGA.EM.A1CS.11A.21R.A13Y.07" "TCGA.EL.A3GZ.11A.11R.A20F.07" "TCGA.EL.A3ZH.11A.11R.A23N.07" "TCGA.BJ.A28W.11A.11R.A32Y.07" "TCGA.ET.A2N5.11B.11R.A18C.07" "TCGA.EL.A3ZM.11A.12R.A23N.07" "TCGA.BJ.A2N7.11A.11R.A18C.07" "TCGA.EM.A3ST.11A.11R.A22U.07" "TCGA.EL.A3T1.11A.11R.A22L.07" "TCGA.EL.A3N3.11A.11R.A20F.07" "TCGA.GE.A2C6.11A.11R.A16R.07" "TCGA.EL.A3H7.11A.11R.A21D.07" "TCGA.ET.A3DP.11A.22R.A21D.07" "TCGA.EL.A3MX.11A.11R.A21D.07" "TCGA.EL.A3TA.11A.12R.A22L.07" "TCGA.EL.A3N2.11A.11R.A20F.07" "TCGA.EL.A3TB.11A.11R.A22L.07" "TCGA.BJ.A3PR.11A.11R.A220.07" "TCGA.EL.A3ZR.11A.11R.A23N.07" "TCGA.EL.A3ZS.11A.11R.A23N.07" "TCGA.EM.A1CV.11A.11R.A13Y.07" "TCGA.ET.A2MX.11C.11R.A23N.07" "TCGA.EL.A3T7.11A.21R.A22L.07" "TCGA.EL.A3T2.11A.11R.A22L.07" "TCGA.EL.A3ZK.11A.11R.A23N.07" "TCGA.EM.A1CT.11A.11R.A13Y.07" "TCGA.EM.A1CU.11A.11R.A13Y.07" "TCGA.BJ.A2N9.11A.11R.A18C.07"
"ENSG00000006327" 4.24615832034 4.33163009453 149.901615389 31.7727862516 73.4876766382 4.21895534804 29.6527777149 5.75071285685 15.7937045186 7.44519910091 3.49585407632 5.860657782 72.861909059 67.6006898454 19.6636767768 2.58129330292 4.89042298176 19.0349899839 21.8411408586 60.624915156 9.50244468104 4.95486970657 10.4862954206 6.12017395179 18.3579602491 1.16144656151 11.5568466146 10.2140922958 26.6608941348 218.888222288 14.7019216281 7.21319714415 62.9646379788 9.0650052689 5.82943575376 8.380535598 15.4856280642 3.25667575433 142.233872394 55.5759220399 4.86448414983 160.525553251 83.9107392784 9.10308879723 21.5626557524 14.6440729519 12.0048406973 10.8338754066 23.2152741197 31.3544503378 24.313864602 21.1681578771 5.81854449161 11.0621448778 26.9538638259 5.26397081426 3.24291885553 9.56370463604
"ENSG00000006468" 2.20629098897 2.82890863152 2.61029552955 3.06788688689 2.5098707365 3.95365506572 3.81158005308 1.82394643045 1.47185747488 2.00351087916 2.60032890564 3.31731938914 0.945321847139 0.970718369463 3.43149994329 3.68953679304 1.61789812342 2.91510401054 1.54222091128 2.10922303175 1.00303451641 2.43683942433 2.44369275152 3.66827518662 2.8263346264 2.33622753446 1.3170610736 4.12064296857 3.7204017464 1.17165030891 1.7002769423 4.20772691026 0.958180051385 1.31376511063 2.48274644237 1.32115505407 2.68164881815 2.60947792507 2.07224219251 3.12640797791 2.08544600792 1.72227437906 1.79673579901 1.53179657797 1.56191205425 1.75247555125 1.36870832312 1.66757753628 2.2315259744 0.329497682856 1.45965097881 3.23946694186 2.00394310474 3.31179634539 1.35574059061 1.68506267108 3.19498053295 1.43868855022
"ENSG00000006534" 0.958372615093 0.509625608835 0.722263485547 1.03407769097 1.1501513215 1.62136760682 1.63373598303 1.2963702073 1.87871652257 1.47785206944 2.24460026294 0.962853704981 0.39364199876 2.2745863034 1.22544870251 0.814653164658 1.10236676304 0.841512052367 1.40297962422 1.04390609969 0.791117658188 1.62822796226 0.811760704414 1.27974462566 0.887729258092 0.478695009012 0.911326947797 0.856842644815 0.821213511992 1.37768113643 1.65718825003 0.749965976196 0.634291133088 2.08854752032 0.759994210974 0.790932618556 0.796337852766 0.733733522818 1.84422670405 0.844278580921 1.86808660625 1.37526587034 0.385134472075 1.14361647431 0.7943581253 0.690573832649 0.799967214368 1.34917145855 1.30708157773 1.84698717735 0.700187982412 1.06220488694 0.995032392877 0.650706548082 1.84487138367 1.08448600862 0.625301722957 2.18324964697
"ENSG00000006625" 10.5458820561 4.40063541252 10.8961368622 10.1202239111 11.3306274137 9.40488035114 13.4882695305 11.795566252 13.3855600396 8.57100684799 10.1665962003 8.30079760806 17.2702181186 11.2157160007 10.0066629205 8.00789611563 8.26893042746 13.7559640081 11.7449329118 12.7174991426 11.5375321196 11.3166483323 9.54869231481 8.89914340452 10.7826310126 10.97592455 11.7314295354 9.64946309386 8.54747032455 13.0842234915 9.36956061328 7.62008882669 8.20716948355 22.0960987387 10.0657692115 13.1943060752 9.84989407189 17.2345641131 14.8470052412 10.2554804532 11.8931377232 15.4193889985 9.71804916829 9.34579383091 8.48922107266 14.2523789186 10.0179247207 19.8836818956 10.1287480548 20.7824112709 8.32584975231 12.3479653399 8.05307421022 8.01561493947 12.0647318665 9.48821181603 10.8987764798 10.7523729687
"ENSG00000007516" 0.375931708544 0.223117625703 0.352256362053 0.092903226765 0.450170169054 0.523974448494 0.40215339798 0.507042146147 0.426566154366 0.357261644969 0.673035408934 0.298362300938 0.0630275156936 1.29389048142 0.273923835103 0.303822647181 0.145480177321 0.188387343887 0.306076285175 0.217464478632 0.191903312839 0.441643179323 1.33756551008 0.187700052645 0.491794434035 0.0776061483774 0.266309534947 0.215944291846 0.142470105267 0.658752623339 0.241363411924 0.227216883682 0.0635610290555 0.183892557015 0.239642593095 0.161719747175 1.03225787674 0.641123378674 0.56202236628 0.460782856181 0.941359084469 0.456019661866 0.3092915483 0.273153468627 0.324392863197 0.210589223791 0.267965727237 0.521210589039 0.309919251354 0.657301235095 0.21059845039 0.226945671104 0.133517493789 0.285448695162 0.336083818713 0.164055449416 0.156496210695 0.595688552857
"ENSG00000007908" 0.218682555735 0.844900462461 2.14080806735 1.09658114896 3.42933817428 0.528907001481 2.3541653451 1.9170143071 8.00511628926 9.80960772812 2.20306577498 0.379111818072 4.96212904675 3.25820530673 17.8818315964 0.215609030806 2.3971237805 2.24282361098 3.98730769083 10.77054825 4.04435824889 1.14279280115 0.748795994447 1.93761049387 2.94601860942 1.59162508948 0.686227151758 9.12134036049 10.9230990735 18.7420686751 1.36448432392 5.43487828692 4.00150390848 0.372489269687 0.0887208972066 0.346845650125 0.254535507637 0.996218708509 76.6466135159 11.4312753387 2.24217585335 22.0680157678 7.55069190887 1.50974489976 7.57192703627 0.387786846087 1.52432258387 1.64916471022 8.08473013834 8.70719006569 0.212640338805 2.73090693513 3.25240039385 3.30749687462 5.38391893813 0.0805302182405 0.17750327691 12.0162972542
"ENSG00000008277" 1.56283811298 1.30254264679 1.53852598799 1.8397256443 1.20184299893 2.50731840341 1.83759233505 1.68010005917 1.20679701164 1.18156451015 1.59635785781 2.14360364788 1.06481764659 1.3937757012 1.56583795554 2.9674888863 1.16369317441 1.38246478075 0.87732074277 1.73603623576 1.86920758863 1.61527392793 1.5439855107 2.25592334973 2.02535481801 2.46909505268 1.53969710307 2.57361278434 1.85213180643 1.03046667529 1.21866083675 1.43464851096 1.28201606178 0.463236189612 1.23839371471 1.81766251727 1.07167722463 0.98187248785 0.75270451199 2.07332031576 1.40390827846 1.86255663641 2.24344916494 1.74567410987 2.09412084516 1.99227214829 1.61778252576 0.494650119432 1.93102467857 0.337649367477 1.20983818219 1.43776629091 1.87073757832 1.70624902059 1.39899650402 1.43304124338 2.5669993893 0.905656512857
"ENSG00000009694" 0.261419121294 0.276467928946 0.528881966603 0.218920197568 0.498046129573 0.22140876132 0.1855938658 0.134764730084 0.200450433727 0.30482825103 0.48173539423 0.460649532952 0.136171234382 0.268680933638 0.212892255676 0.231187481767 0.137599769644 0.171294596908 0.145870413204 0.430585272446 0.31502076942 0.137211084466 0.783143391357 0.149398145366 0.224654994394 0.364308992795 0.267390982368 0.930810246757 0.270382209509 0.170496956157 0.172544145047 0.307986386392 0.127435457983 0.775125887192 0.141402013936 0.0812766676574 0.779811895356 0.104889539464 0.374181963929 0.338596249675 0.235935373634 0.213844121502 0.190815887881 0.202403143232 0.236022304085 0.301089028247 0.22429320026 0.135753229026 0.288480275925 0.138201998028 0.312833475258 0.324474587765 0.187604745628 0.672128236921 0.233692786088 0.0902991570192 0.408773632275 0.0979812440906
"ENSG00000009950" 1.73228757764 0.40583080411 0.770793983508 0.461161027101 1.50835054619 0.438656364508 0.357374536638 0.394129853118 0.506405322484 0.809065446346 0.878386320186 1.12267852316 0.648963938882 1.37236590204 0.266267358677 1.04936196348 1.4027110612 0.737208469743 1.0658474276 1.31062466313 1.0886699072 0.77423079076 0.780369491178 0.410012420187 0.174516957844 0.297175942634 0.818459957541 0.434894412626 0.886532435406 0.929029226549 1.42655812823 0.25989338709 0.75815582712 0.125186974639 0.410761837867 0.968314275706 0.979821954785 0.394924025435 0.558764087092 1.00826753327 0.315952500352 0.485582273894 0.283923121047 0.257913386483 1.15385856498 0.472439783672 0.983002586424 1.02500721372 0.852989983118 0.682713724358 0.181536540187 0.962269582224 1.8541113049 1.17025775894 0.777098929418 0.303784633079 0.138292697474 0.538303325097
"ENSG00000010310" 0.0951161778402 0.0325737129121 0.199349917554 0.0234426767894 0.143440650494 0.145904903524 0.0891824259745 0.113884360674 0.394849316119 0.254246207427 0.794902362701 0.112930592896 0.070886436499 0.543710848133 0.103908465178 0.0993974628223 0.0522809935573 0.0418179120784 0.107977023261 0.0785527186219 0.0470402635418 0.141468552515 0.102697254693 0.0401784802019 0.14300169615 0.0151066529115 0.177830489239 0.0747293703652 0.0528246420711 0.246537327423 0.0714963327228 0.057441000424 0.0113771576356 0.270459771144 0.0533123809301 0.0305260923261 0.146803427214 0.10348238446 0.142937437465 0.188521597263 0.19468049872 0.0759510995582 0.0302404844479 0.111684410919 0.0870006681497 0.0552092448737 0.0555222111209 0.263475628015 0.0754103034796 0.652288529432 0.0496904973931 0.0270815489012 0.0507855268016 0.0753421759248 0.235945973443 0.0389813186901 0.0390554229035 0.208651500648
